"user_nickname","content","signature","count_en","count_dg","count_sp","count_zh","count_pu","ads_status","phone_status","kind_words","num_words","LABEL"
"巫教练","恭喜恭喜！","明通驾校一温莎首家华人驾校
电话:519—257—8840",0,10,1,15,3,0,0,3,3,0
"YiF","哦","YiF，没有如果",3,0,0,4,1,1,1,1,1,1
"Jim","面对罪犯挥舞手中的手枪，那个警员冒着危险，冷静处理这事，抓住了罪犯，值得称赞👍 - 这种情况可能可以一枪毙了那个罪犯。但是抓住他更好，可以了解为什么他要这么做","最后让冰溶解的一定是春天",0,0,0,12,0,1,1,0,0,1
"塬","周教练教的好[呲牙]",0,0,0,0,0,0,1,1,0,0,1
"銘銘","提供明天中午去多伦多的carpool",0,0,0,0,0,0,1,1,0,0,0
"爻","没有手枪","Where'd you wanna go?  How much you wanna risk?",35,0,9,0,3,1,1,8,10,1
"Iris,NetShaker,Founder","广告招演员啦～ 会需要一位女性角色和两位男性角色！这次广告将会登上Cineplex，有兴趣的朋友们赶紧报名试镜吧，名额有限！大家可以先关注Food Hwy这个公众号然后点击”Casting Call”就会看到详细信息～ 有问题的朋友可以直接来问我[机智] 。29号会在mississauga试镜，6号会在dt试镜, 5.12号在密西沙加拍摄 时间是6pm-6am ","好友邀请请注明添加理由",0,0,0,11,0,1,1,0,0,0
"每周往返416-357-6965","提供Carpool🚙:

4月26日星期四， 温莎➡多伦多，下午三点离开温莎。

4月29日星期日，多伦多➡温莎，傍晚出发。

宽敞SUV,   可以接送机场。
416-357-6965","潜心练琴。",0,0,0,4,1,1,1,0,0,0
"JamesPeng‰⭕","我是这个广告的co-director，有兴趣的朋友欢迎来试镜[呲牙]有什么问题也可以随时来问我们","Wisdom Chokes You",15,0,2,0,0,1,1,3,3,0
"静水流深",1,0,0,0,0,0,0,1,1,0,0,1
"sub0206-ass0409-dip0413-app0420","@哦• 我咋没收到","<span class=""emoji emoji1f478""></span>🏻",24,4,2,0,9,0,1,4,5,1
"🍄Teemo有毒🍄","今天的嫌疑犯资料可以在FACEBOOK上找到，Alek Minassian，从黎巴嫩来的叙利亚难民：Alek Minassian, is the ""suspect"" who ran over & killed over 10 people and injuring many others. Arrived from Lebanon 6 months ago, devout Muslim, his facebook says from ""Aleppo Syria""。米纳希安昨天下午1时许，驾车狂撞多伦多华裔等亚裔聚集的北约克闹区。前后大约25分钟内，造成10人死亡、15人受伤。警方赶到现场后，米纳希安一度手持类似枪枝的物件与一名警员对峙，但他很快就丢弃手中物件，束手就擒。",0,0,0,0,0,0,1,1,0,0,1
"NgkStudio","提供：周五27号早上六点温莎➡多伦多carpool 周五27号下午四点多伦多➡温莎 ","Make it Right",11,0,2,0,0,1,1,3,3,0
"静静康","@甜心厨房,你这个跟我那房客的情况差不多",0,0,0,0,0,0,1,1,0,0,1
"X.🐋","求个carpool 去taka ","此时你又在滑手机了！？！？手机说: leave me alone.",12,0,3,12,6,1,1,3,3,1
"Terry张及团队-温莎地产国粤语服务","升职了？",0,0,0,0,0,0,1,1,0,0,0
"anna～🇨🇦","@芍 不好意思[害羞]和朋友约了事情 今天在外边 才回来。你的帽子订了，后来商家来邮件说暂时没货，我在帮你一直盯着呢，如果有货接着订[愉快] 刚刚回来又查了一下 好像现在官网上有货啦[胜利]还有其他颜色 我一会儿再登出来供大家选择",0,0,0,0,0,0,1,1,0,0,0
"Jin","2005年尼桑Altima 2.5s +18.5万公里  没毛病  因回国超低价出手，机会难得，有意向请微信联系，价格面议！https://www.kijiji.ca/m-my-ads/active/1",0,0,0,0,0,0,1,1,0,0,0
"Andy多倫多在綫旅遊905-604-8843","神马？ $1含税专享长江三峡高铁奢华系列","古巴旅遊達人",0,0,0,6,0,1,1,0,0,0
"仲夏","罗渣士新春特价高速上网 电视 电话 智能房屋安保监控系统 - MyGoon",0,0,0,0,0,0,1,1,0,0,0
"Allen","提供接送
4月25日周三多伦多→温莎，下午4点
4月28日周六多伦多→温莎，下午4点",0,0,0,0,0,0,1,1,0,0,0
"Lily-旅游达人","🚀

全球招商 [嘴唇] 互联网生意 0投资 0风险，会用微信就可以。💵 赠送加拿大移民机会！✈

http://www.canadaso.com/services/service/2949",0,0,0,0,0,0,1,1,0,0,0
"jliu","想买个fairview mall附近的condo.租出去，各位知道那个地段出租的情况吗？",0,0,0,0,0,0,1,1,0,0,1
"房东网信息","房东网 - 加拿大青年啃老愈演愈烈 全世界都被房价打败 04-24-2018",0,0,0,0,0,0,1,1,0,0,0
"Cynthia","提供30号多伦多回温莎的carpool ",0,0,0,0,0,0,1,1,0,0,0
"SEANWANG","@jliu 可以。找个靠谱经纪帮您参谋。",0,0,0,0,0,0,1,1,0,0,0
"🏎꯭G꯭A꯭G꯭C꯭💨","真聪明 杀人之后丢枪不会被枪毙","我是雷神托尔，为了北方神的荣耀！",0,0,0,14,2,1,1,0,0,1
"Elanie（Yingchun)","Hi",0,0,0,0,0,0,1,1,0,0,1
"加拿大探亲父母俱乐部(2号)","【精选讲座】手把手教您旅游签转学签办理移民，享用更多福利！","加拿大多咨处",0,0,0,6,0,1,1,0,0,0
"周末温莎多伦多往返","提供卡普。                                                          
4月27号，星期五温莎到多伦多，下午出发。                                                    4月29号，星期天多伦多到温莎，下午fairview mall出发，途经Yorkdale。                                               2018年宽敞四驱新SUV，可以接送多伦多机场，时间地点可以相互协商。                                                                      微信或电话短信313-6932889。 ","行者无疆，书华的天空. Motor City, Motor and Man",20,0,5,9,3,1,1,4,5,0
"Amy的珠宝盒","@anna ～🇨🇦 我明天早上送孩子上学回来路上取，7:30可以吗？","我的辣妈生活",0,0,0,6,0,1,1,0,0,0
"易昔","@Amy的珠宝盒 帮我带一下。",0,0,0,0,0,0,1,1,0,0,0
"app406","联邦阶段能查状态吗？","如梦如幻月，若即若离花",0,0,0,10,1,1,1,0,0,0
"Judy-ITRecruiter","#5775 Lead QA contract OLG  North York 1 year contract.  Best rates apply. Communication is the key
please send resume to judy.chencareer@gmail.com or call 6478652985
Its a QA Lead/BA, going into an organization to set up the test environment from scratch.  
Major part of this role will be communication with the business to figure out exactly how 
to set up proper test cases.  
Position Summary: Under the direction of the IT Operations Manager, 
TSG, the Senior Quality Assurance Analyst is responsible 
for developing and establishing quality assurance standards and measures 
for the information technology services within the organization.
This individual will also gather and analyze data in support of business cases, 
proposed projects, and systems requirements. This will include writing test plans and 
scripts for tracking defects and fixes in product development, software application development,
information systems, and operations systems, creating test documentation and 
performing functional, regression, and end-to-end testing on multiple systems. 

","只要活着，就会有好事情发生～",0,0,0,12,2,1,1,0,0,0
"2.11Sub3.22assessed","真好 后悔自己当时晚交了 现在还在ass中 3.23 的",":      )",0,0,6,0,2,1,1,0,0,1
"assessment3.21","我2.11 sub 3.21assess","捧茶观落日 红梅白雪知",0,0,1,10,0,1,1,0,0,1
"Aaron晖","晚不了多少的，心态放好工作学习","~ Live a life with forever love ~ H&amp;Z ~ 西安人在多伦多～",29,0,10,7,6,1,1,9,9,1
"淡白色晨雨","733 Rankin Ave，380全包。。後院就是溫莎大學工程館。地理位置非常優越。好房不等人哦。
Details: 
1. 这间房室内装修非常干净、整洁，室外院子很干净，草坪精保养，刚刚换了全新的保暖層和窗户，邻居是加拿大本地人，环境非常好，很安静。
2.此房地段非常好，位处Rankin街，2-3分钟步行到温莎大学，离工程学院很近，5分钟到语言中心，周边有许多餐馆如Dragon’s Inn, Pizza Pizza, The Pita Grill, 几步路可达华人超市，TD Bank，公交站，非常方便。
3.此房有公共活动区，三個人共用厨房、餐厅、浴室。
5.目前入住的房客都是温莎大学的研究生，人都超nice。 
6.免费使用洗衣机、烘干机、冰箱、微波炉。
7.包水电气网费。
8.提供雙人床跟書桌。
9.需要一年的租房合同。
10. 欢迎不吸烟，不养宠物，爱干净的同学入住哦。><
如果有任何问题可以和我联系，预约看房。如需要看房间图片，请加微信号：pure-blue-sky。电话519-551-3698。非诚勿扰。一樓房間現在隨時可以入住。",0,0,0,0,0,0,1,1,0,0,0
"Richard加拿大科技学院6479063396","招聘信息,兼职/全职 Apr 24th, 2018",0,0,0,0,0,0,1,1,0,0,0
"Sub201-Ass409-Dip410-App411","别着急 请看我的时间轴","我拿把旧钥匙
敲着厚厚的墙",0,0,1,12,0,1,1,0,0,1
"shumindu","我车库门前是石子地面有没有能修成水泥地面或沥青地面的人才，请帮着介绍一下。谢谢大家了！",0,0,0,0,0,0,1,1,0,0,1
"AnnabelAssessment3.23","@2.11 Sub3.22assessed 我也是323assess 现在还在assess lol","Fall in love, enjoy a dream, dance a journey. ",34,0,9,0,3,1,1,8,9,1
"莎莎","周五晚 DJSoda卡座 有小姐姐一起来玩吗😌","平行进口车招奔驰人头 有报酬<span class=""emoji emoji1f4b0""></span> ",25,3,4,13,8,0,1,4,5,0
"🐟×子非鱼Cecilia×🐟","soda的remix不错","🌬️ What Goes around Comes around",25,0,5,0,2,1,1,4,5,1
"虎头虎脑的郭小虎","求四月三十号 温莎到大瀑布的车～ ","并不是只有我在质疑我",0,0,0,10,0,1,1,0,0,1
"DreamRider"," ✋🏻提供5.6北京回加拿大有偿待物，不带烟","加拿大代购！正品不解释！",0,0,0,10,2,0,1,0,0,0
"终于18岁的小Jill","啊啊啊啊，放我过去！","因上努力，果上随缘",0,0,0,8,1,1,1,0,0,1
"村长","一个误解：
人们总是在往多伦多移，数量增加。

事实是：
这几年人们在往多伦多之外走（见黄线）

人们往滑铁卢KWC区（蓝色）
Hamilton区（绿色）迁移人口逐渐增加！"," ",0,0,1,0,0,1,1,0,0,0
"李梓溦Vivien","提供明天中午去多伦多的carpool","No pains,No gains......",14,0,2,0,7,1,1,3,4,0
